INFO: Initialising log
INFO: Loading legacy instruction file: /download/KH-LLM-TransQueue/prompt/movie_drama_prompt.txt
INFO: Created 172 scenes and 172 batches for translation
INFO: Translating 628 subtitles from /download/KH-LLM-TransQueue/srt/input/The Descent (2005) [FHD].en.srt
INFO: Output path will be: /download/KH-LLM-TransQueue/srt/output/The Descent (2005) [FHD].en.ko.srt
INFO: Translating with model gpt-4.1-mini, Using API Base: https://api.openai.com/v1
INFO: Translating 628 lines in 172 scenes
INFO: OpenAI usage - prompt=965, completion=39, total=1004
INFO: OpenAI usage - prompt=930, completion=7, total=937
INFO: OpenAI usage - prompt=929, completion=5, total=934
INFO: OpenAI usage - prompt=948, completion=27, total=975
INFO: OpenAI usage - prompt=967, completion=45, total=1012
INFO: OpenAI usage - prompt=984, completion=54, total=1038
INFO: OpenAI usage - prompt=936, completion=16, total=952
INFO: OpenAI usage - prompt=1021, completion=93, total=1114
INFO: OpenAI usage - prompt=1018, completion=99, total=1117
INFO: OpenAI usage - prompt=947, completion=26, total=973
INFO: OpenAI usage - prompt=949, completion=27, total=976
INFO: OpenAI usage - prompt=932, completion=13, total=945
INFO: OpenAI usage - prompt=955, completion=35, total=990
INFO: OpenAI usage - prompt=995, completion=71, total=1066
INFO: OpenAI usage - prompt=1022, completion=104, total=1126
INFO: OpenAI usage - prompt=1029, completion=109, total=1138
INFO: OpenAI usage - prompt=1050, completion=124, total=1174
INFO: OpenAI usage - prompt=1399, completion=474, total=1873
INFO: OpenAI usage - prompt=1014, completion=83, total=1097
INFO: OpenAI usage - prompt=1053, completion=114, total=1167
INFO: OpenAI usage - prompt=988, completion=71, total=1059
INFO: OpenAI usage - prompt=987, completion=56, total=1043
INFO: OpenAI usage - prompt=939, completion=22, total=961
INFO: OpenAI usage - prompt=1021, completion=94, total=1115
INFO: OpenAI usage - prompt=968, completion=42, total=1010
INFO: OpenAI usage - prompt=969, completion=51, total=1020
INFO: OpenAI usage - prompt=975, completion=47, total=1022
INFO: OpenAI usage - prompt=1127, completion=223, total=1350
INFO: OpenAI usage - prompt=973, completion=56, total=1029
INFO: OpenAI usage - prompt=1072, completion=142, total=1214
INFO: OpenAI usage - prompt=1005, completion=73, total=1078
INFO: OpenAI usage - prompt=934, completion=15, total=949
INFO: OpenAI usage - prompt=1024, completion=103, total=1127
INFO: OpenAI usage - prompt=954, completion=28, total=982
INFO: OpenAI usage - prompt=943, completion=23, total=966
INFO: OpenAI usage - prompt=934, completion=12, total=946
INFO: OpenAI usage - prompt=1156, completion=242, total=1398
INFO: OpenAI usage - prompt=929, completion=6, total=935
INFO: OpenAI usage - prompt=1021, completion=110, total=1131
INFO: OpenAI usage - prompt=931, completion=10, total=941
INFO: OpenAI usage - prompt=971, completion=48, total=1019
INFO: OpenAI usage - prompt=1067, completion=146, total=1213
INFO: OpenAI usage - prompt=968, completion=50, total=1018
INFO: OpenAI usage - prompt=936, completion=14, total=950
INFO: OpenAI usage - prompt=957, completion=33, total=990
INFO: OpenAI usage - prompt=973, completion=51, total=1024
INFO: OpenAI usage - prompt=930, completion=12, total=942
INFO: OpenAI usage - prompt=985, completion=73, total=1058
INFO: OpenAI usage - prompt=952, completion=37, total=989
INFO: OpenAI usage - prompt=929, completion=7, total=936
INFO: OpenAI usage - prompt=931, completion=9, total=940
INFO: OpenAI usage - prompt=929, completion=8, total=937
INFO: OpenAI usage - prompt=935, completion=14, total=949
INFO: OpenAI usage - prompt=932, completion=9, total=941
INFO: OpenAI usage - prompt=951, completion=26, total=977
INFO: OpenAI usage - prompt=961, completion=39, total=1000
INFO: OpenAI usage - prompt=989, completion=57, total=1046
INFO: OpenAI usage - prompt=957, completion=35, total=992
INFO: OpenAI usage - prompt=1037, completion=99, total=1136
INFO: OpenAI usage - prompt=950, completion=28, total=978
INFO: OpenAI usage - prompt=933, completion=12, total=945
INFO: OpenAI usage - prompt=1076, completion=151, total=1227
INFO: OpenAI usage - prompt=932, completion=11, total=943
INFO: OpenAI usage - prompt=1565, completion=624, total=2189
INFO: OpenAI usage - prompt=994, completion=65, total=1059
INFO: OpenAI usage - prompt=1031, completion=110, total=1141
INFO: OpenAI usage - prompt=1565, completion=615, total=2180
INFO: OpenAI usage - prompt=981, completion=52, total=1033
INFO: OpenAI usage - prompt=960, completion=39, total=999
INFO: OpenAI usage - prompt=934, completion=11, total=945
INFO: OpenAI usage - prompt=1053, completion=132, total=1185
INFO: OpenAI usage - prompt=933, completion=8, total=941
INFO: OpenAI usage - prompt=931, completion=7, total=938
INFO: OpenAI usage - prompt=1012, completion=81, total=1093
INFO: OpenAI usage - prompt=945, completion=23, total=968
INFO: OpenAI usage - prompt=929, completion=6, total=935
INFO: OpenAI usage - prompt=951, completion=24, total=975
INFO: OpenAI usage - prompt=929, completion=7, total=936
INFO: OpenAI usage - prompt=930, completion=5, total=935
INFO: OpenAI usage - prompt=949, completion=23, total=972
INFO: OpenAI usage - prompt=966, completion=43, total=1009
INFO: OpenAI usage - prompt=1004, completion=82, total=1086
INFO: OpenAI usage - prompt=962, completion=30, total=992
INFO: OpenAI usage - prompt=945, completion=20, total=965
INFO: OpenAI usage - prompt=929, completion=6, total=935
INFO: OpenAI usage - prompt=932, completion=13, total=945
INFO: OpenAI usage - prompt=948, completion=27, total=975
INFO: OpenAI usage - prompt=951, completion=30, total=981
INFO: OpenAI usage - prompt=1069, completion=143, total=1212
INFO: OpenAI usage - prompt=970, completion=42, total=1012
INFO: OpenAI usage - prompt=934, completion=13, total=947
INFO: OpenAI usage - prompt=1021, completion=96, total=1117
INFO: OpenAI usage - prompt=1039, completion=106, total=1145
INFO: OpenAI usage - prompt=964, completion=40, total=1004
INFO: OpenAI usage - prompt=947, completion=21, total=968
INFO: OpenAI usage - prompt=1039, completion=103, total=1142
INFO: OpenAI usage - prompt=933, completion=11, total=944
INFO: OpenAI usage - prompt=933, completion=10, total=943
INFO: OpenAI usage - prompt=960, completion=32, total=992
INFO: OpenAI usage - prompt=931, completion=11, total=942
INFO: OpenAI usage - prompt=933, completion=15, total=948
INFO: OpenAI usage - prompt=992, completion=76, total=1068
INFO: OpenAI usage - prompt=979, completion=52, total=1031
INFO: OpenAI usage - prompt=1052, completion=110, total=1162
INFO: OpenAI usage - prompt=980, completion=51, total=1031
INFO: OpenAI usage - prompt=934, completion=14, total=948
INFO: OpenAI usage - prompt=954, completion=31, total=985
INFO: OpenAI usage - prompt=983, completion=60, total=1043
INFO: OpenAI usage - prompt=944, completion=21, total=965
INFO: OpenAI usage - prompt=1290, completion=378, total=1668
INFO: OpenAI usage - prompt=992, completion=86, total=1078
INFO: OpenAI usage - prompt=930, completion=10, total=940
INFO: OpenAI usage - prompt=933, completion=14, total=947
INFO: OpenAI usage - prompt=950, completion=28, total=978
INFO: OpenAI usage - prompt=1055, completion=124, total=1179
INFO: OpenAI usage - prompt=936, completion=13, total=949
INFO: OpenAI usage - prompt=1026, completion=102, total=1128
INFO: OpenAI usage - prompt=946, completion=23, total=969
INFO: OpenAI usage - prompt=1016, completion=73, total=1089
INFO: OpenAI usage - prompt=933, completion=12, total=945
INFO: OpenAI usage - prompt=929, completion=7, total=936
INFO: OpenAI usage - prompt=935, completion=14, total=949
INFO: OpenAI usage - prompt=934, completion=11, total=945
INFO: OpenAI usage - prompt=931, completion=10, total=941
INFO: OpenAI usage - prompt=1011, completion=79, total=1090
INFO: OpenAI usage - prompt=935, completion=11, total=946
INFO: OpenAI usage - prompt=933, completion=10, total=943
INFO: OpenAI usage - prompt=929, completion=6, total=935
INFO: OpenAI usage - prompt=932, completion=7, total=939
INFO: OpenAI usage - prompt=929, completion=8, total=937
